volume,pagina,book,value
1,425,2S,17:3
1,427,2S,17:20
1,428,2S,17:25
1,429,2S,17:28
1,431,2S,18:3
1,432,2S,18:12
1,433,2S,18:26
1,434,2S,18:29
1,435,2S,19:1
1,436,2S,19:19
1,437,2S,19:25
1,438,2S,19:26
1,439,2S,19:34
1,440,2S,19:40
1,441,2S,20:6
1,442,2S,20:7
1,443,2S,20:14
1,444,2S,20:18
1,444,2S,20:19
1,446,2S,21:64
1,447,2S,21:6
1,448,2S,21:8
1,449,2S,21:14
1,450,2S,21:19
1,451,2S,22:12
1,452,2S,22:30
1,453,2S,22:33
1,454,2S,22:43
1,455,2S,22:44
1,456,2S,22:46
1,457,2S,23:7
1,458,2S,23:8
1,459,2S,23:18
1,461,2S,23:11
1,462,2S,23:13
1,463,2S,23:19
1,464,2S,23:20
1,465,2S,23:22
1,466,2S,23:23
1,467,2S,23:24
1,468,2S,23:32
1,469,2S,24:2
1,470,2S,24:5
1,471,2S,24:6
1,472,2S,24:13
1,473,2S,24:15
1,474,2S,24:17
1,476,1R,1:18
1,476,1R,1:20
1,479,1R,2:5
1,480,1R,2:19
1,481,1R,2:29
1,482,1R,4:5
1,483,1R,4:6
1,485,1R,5:6
1,486,1R,5:25
1,487,1R,6:8
1,488,1R,6:15
1,488,1R,6:16
1,489,1R,6:17
1,490,1R,6:34
1,491,1R,7:5
1,492,1R,7:15
1,493,1R,7:17
1,494,1R,7:18
1,495,1R,7:24
1,496,1R,8:9
1,497,1R,8:12
1,497,1R,8:13
1,497,1R,8:14
1,498,1R,8:31
1,500,1R,8:36
1,501,1R,8:65
1,502,1R,9:8
1,504,1R,10:8
1,505,1R,10:15
1,506,1R,10:28
1,507,1R,11:7
1,508,1R,11:25
1,509,1R,11:33
1,510,1R,12:2
1,510,1R,15:21
1,511,1R,12:30
1,512,1R,13:12
1,513,1R,14:14
1,514,1R,17:1
1,515,1R,17:6
1,516,1R,18:5
1,517,1R,18:26
1,518,1R,19:3
1,519,1R,20:7
1,520,1R,20:21
1,521,1R,22:48
1,523,2R,1:12
1,525,2R,1:17
1,526,2R,2:14
1,527,2R,2:15
1,528,2R,3:17
1,529,2R,3:24
1,530,2R,3:25
1,531,2R,4:16
1,532,2R,5:18
1,533,2R,6:8
1,533,2R,6:9
1,534,2R,6:11
1,535,2R,6:33
1,536,2R,7:13
1,537,2R,8:16
1,538,2R,9:8
1,539,2R,9:27
1,540,2R,10:1
1,541,2R,10:15
1,542,2R,10:19
1,543,2R,10:25
1,544,2R,10:26
1,544,2R,10:27
1,545,2R,12:10
1,546,2R,12:11
1,547,2R,13:6
1,548,2R,13:21
1,549,2R,13:23
1,550,2R,15:10
1,551,2R,15:25
1,552,2R,16:6
1,553,2R,16:10
1,554,2R,16:18
1,555,2R,17:8
1,556,2R,18:17
1,557,2R,18:34
1,558,2R,19:17
1,559,2R,19:26
1,559,2R,19:27
1,560,2R,19:28
1,561,2R,20:11
1,562,2R,20:12
1,563,2R,21:26
1,564,2R,22:13
1,565,2R,23:8
1,566,2R,23:13
1,567,2R,23:16
1,568,2R,24:2
1,569,2R,25:3
1,570,2R,25:4
1,571,2R,25:9
1,572,2R,25:17
1,574,1Ch,1:12
1,575,1Ch,1:42
1,576,1Ch,2:7
1,577,1Ch,2:18
1,578,1Ch,2:30 :31
1,578,1Ch,2:31
1,579,1Ch,2:42
1,580,1Ch,3:21
1,581,1Ch,3:22
1,582,1Ch,4:22
1,584,1Ch,5:23
1,585,1Ch,6:11
1,586,1Ch,6:13
1,587,1Ch,7:6
1,588,1Ch,7:12
1,589,1Ch,7:15
1,590,1Ch,7:25
1,591,1Ch,7:28
1,592,1Ch,7:32
1,592,1Ch,7:34
1,592,1Ch,7:35
1,593,1Ch,8:3
1,594,1Ch,8:33
1,595,1Ch,9:22
1,596,1Ch,11:11
1,597,1Ch,11:14
1,598,1Ch,11:20
1,598,1Ch,11:24
1,599,1Ch,11:27
1,600,1Ch,11:34
1,601,1Ch,16:5
1,602,1Ch,16:30
1,603,1Ch,17:5
1,604,1Ch,17:17
1,605,1Ch,18:6
1,606,1Ch,19:17
1,607,1Ch,20:3
1,609,1Ch,24:6
1,611,1Ch,24:13
1,612,1Ch,24:23
1,613,1Ch,24:26
1,614,1Ch,25:9
1,615,1Ch,26:1
1,616,1Ch,26:17
1,617,1Ch,26:20
1,618,1Ch,26:25
1,619,1Ch,27:4
1,619,1Ch,27:6
1,621,2Ch,1:5
1,622,2Ch,1:13
1,623,2Ch,3:2
1,624,2Ch,3:4
1,625,2Ch,3:9
1,626,2Ch,3:15
1,627,2Ch,4:3
1,628,2Ch,4:16
1,629,2Ch,5:5
1,630,2Ch,23:18
1,630,2Ch,30:27
1,631,2Ch,5:9
1,632,2Ch,6:42
1,633,2Ch,8:16
1,634,2Ch,9:7
1,635,2Ch,10:14
1,636,2Ch,10:16
1,637,2Ch,11:17
1,638,2Ch,12:15
1,639,2Ch,16:7
1,640,2Ch,17:3
1,641,2Ch,19:8
1,642,2Ch,20:2
1,643,2Ch,20:25
1,644,2Ch,21:2
1,644,2Ch,28:19
1,644,2Ch,28:28
1,645,2Ch,21:15
1,646,2Ch,22:2
1,647,2Ch,22:6
1,648,2Ch,23:14
1,649,2Ch,23:18
1,650,2Ch,25:8
1,651,2Ch,25:20
1,652,2Ch,25:28
1,653,2Ch,26:5
1,654,2Ch,26:5
1,655,2Ch,26:23
1,656,2Ch,30:21
1,657,2Ch,32:22
