volume,url
1,https://www.zora.uzh.ch/server/api/core/bitstreams/0b725c86-94ca-4935-a638-1dc83f4b0cb1/content
2,https://www.zora.uzh.ch/server/api/core/bitstreams/f65a6c70-833e-4638-b08d-1febc4627583/content
3,https://www.zora.uzh.ch/server/api/core/bitstreams/4977dceb-4872-438a-9535-969cb950bb46/content
4,https://www.zora.uzh.ch/server/api/core/bitstreams/f0ff5f4b-c376-4c1e-93a8-4804c468441e/content
5,https://www.zora.uzh.ch/server/api/core/bitstreams/ac9b6470-44c3-485e-a3ca-b2035ed93fdc/content
