book_name,chapter,verse
Genesis,2,2
Genesis,4,8
Genesis,10,10
Genesis,11,8
Genesis,13,18
Genesis,14,14
Genesis,22,13
Genesis,29,34
Genesis,31,53
Genesis,38,3
Genesis,38,30
Genesis,41,16
Genesis,42,1
Genesis,43,28
Genesis,47,21
Genesis,49,5
Genesis,49,10
Genesis,49,14
Genesis,49,19
Exodus,3,22
Exodus,12,40
Exodus,14,25
Exodus,22,4
Exodus,27,19
Exodus,28,30
Exodus,39,21
Leviticus,,
EMPEZAR LEVITICO,,
,,
,,
,,
,,
Deuteronomy,27,4
Numbers,12,1
