book_name,chapter,verse
Genesis,2,2
,4,8
Genesis,10,10
Genesis,11,8
Genesis,13,18
Genesis,14,14
Genesis,22,13
Genesis,29,34
Genesis,31,53
,VOY EN C 32 (POR EMPEZAR),
,,
,,
Exodus,12,40
Deuteronomy,27,4
Numbers,12,1
Genesis,50,23
Genesis,22,2
