book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
Job,14,5,7,חֻקָּ֥י/ו,"K= chu.ko/v (חֻקּ/וֹ) ""limit/ his"" (H2706I/H9023=HNcmsc/Sp3ms)",H2706I H9023,HNcmpc Sp3ms,H2706I H9023,HNcmsc Sp3ms
Job,15,15,2,בִּ֭/קְדֹשָׁי/ו,"K= bi/k.do.sho/v (בִּ/קְדֹשׁ/וֹ) ""in/ holy [one]/ his"" (H9003/H6918G/H9023=HR/Aamsc/Sp3ms)",H9003 H6918G H9023,HR Aampc Sp3ms,H9003 H6918G H9023,HR Aamsc Sp3ms
Job,15,31,3,בַּ/שָּׁ֣יו,"K= ba./shov (בַּ/שּׁוֹ) ""in/ <the> worthlessness"" (H9003/H7723H=HRd/Ncbsa)",H9003 H7723H,HRd Ncmsa,H9003 H7723H,HRd Ncbsa
Job,16,16,2,חֳ֭מַרְמְרוּ,"K= cho.mar.me.rah (חֳמַרְמְרָה) ""it is reddened"" (H2560C=HVpp3fs)",H2560C,HVpp3cp,H2560C,HVpp3fs
Job,20,11,3,עֲלוּמָ֑י/ו,"K= a.lu.mo/v (עֲלוּמ/וֹ) ""youthful vigor/ his"" (H5934/H9023=HNcmsc/Sp3ms)",H5934 H9023,HNcmpc Sp3ms,H5934 H9023,HNcmsc Sp3ms
Job,21,20,2,עֵינָ֣י/ו,"K= ei.no/v (עֵינ/וֹ) ""own eye/ his"" (H5869A/H9023=HNcbsc/Sp3ms)",H5869A H9023,HNcfdc Sp3ms,H5869A H9023,HNcbsc Sp3ms
Job,24,1,6,וְ֝/יֹדְעָ֗י/ו,"K= ve./yo.de.'o/v (וְ/יֹדְע/וֹ) ""and/ [one who] knows/ him"" (H9002/H3045/H9033=HC/Vqrmsc/Sp3ms)",H3045 H9033,Vqrmpc Sp3ms,H3045 H9033,Vqrmsc Sp3ms
Job,24,6,3,יִקְצ֑וֹרוּ,"K= yak.tzi.ru (יַקְצִירוּ) ""they cause to harvest"" (H7114B=HVhi3mp)",H7114B,HVqi3mp,H7114B,HVhi3mp
Job,26,14,4,דְּרָכָ֗י/ו,"K= dar.ko/v (דַּרְכּ/וֹ) ""way/ his"" (H1870G/H9023=HNcbsc/Sp3bs)",H1870G H9023,HNcbpc Sp3ms,H1870G H9023,HNcbsc Sp3bs
Job,26,14,11,גְּ֝בוּרוֹתָ֗י/ו,"K= ge.vu.ra.to/v (גְּבוּרָת/וֹ) ""might/ his"" (H1369/H9023=HNcfsc/Sp3ms)",H1369 H9023,HNcfpc Sp3ms,H1369 H9023,HNcfsc Sp3ms
Job,27,15,1,שְׂ֭רִידָי/ו,"K= se.ri.do/v (שְׂרִיד/וֹ) ""survivor/ his"" (H8300/H9023=HNcmsc/Sp3ms)",H8300 H9023,HNcmpc Sp3ms,H8300 H9023,HNcmsc Sp3ms
Job,31,11,2,הִ֥יא,"K= hu' (הוּא) ""that"" (H1931=HPp3ms)",H1931,HPp3fs,H1931,HPp3ms
Job,31,20,4,חֲלָצָ֑י/ו,"K= cha.la.tzo/v (חֲלָצ/וֹ) ""loin/ his"" (H2504/H9023=HNcbsc/Sp3ms)",H2504 H9023,HNcfdc Sp3ms,H2504 H9023,HNcbsc Sp3ms
Job,37,12,4,בְּ/תַחְבּוּלֹתָ֣י/ו,"K= be./tach.bu.la.to/v (בְּ/תַחְבּוּלָת/וֹ) ""by/ guidance/ his"" (H9003/H8458/H9023=HR/Ncfsc/Sp3ms)",H9003 H8458 H9023,HR Ncfpc Sp3ms,H9003 H8458 H9023,HR Ncfsc Sp3ms
Job,38,12,5,הַ/שַּׁ֣חַר,"K= sha.char (שַׁחַר) ""dawn"" (H7837=HNcbsa)",H7837,HTd Ncmsa,H7837,HNcbsa
Job,38,41,6,יְ֭לָדָי/ו,"K= ye.la.do/v (יְלָד/וֹ) ""young one/ its"" (H3206/H9023=HNcmsc/Sp3ms)",H3206 H9023,HNcmpc Sp3ms,H3206 H9023,HNcmsc Sp3ms
Job,39,12,4,יָשִׁ֣יב,"K= ya.shuv (יָשׁוּב) ""it will come back"" (H7725G=HVqi3ms)",H7725G,HVhi3ms,H7725G,HVqi3ms
Job,39,26,5,כְּנָפָ֣י/ו,"K= ke.na.fo/v (כְּנָפ/וֹ) ""wing/ its"" (H3671/H9023=HNcbsc/Sp3ms)",H3671 H9023,HNcfdc Sp3ms,H3671 H9023,HNcbsc Sp3ms
Job,39,30,1,וְ/אֶפְרֹחָ֥י/ו,"K= ve./'ef.ro.cho/v (וְ/אֶפְרֹח/וֹ) ""and/ young one/ its"" (H9002/H0667/H9023=HC/Ncmsc/Sp3ms)",H0667 H9023,Ncmpc Sp3ms,H0667 H9023,Ncmsc Sp3ms
Job,40,17,6,פַחֲדָ֣י/ו,"K= fa.cha.do/v (פַחֲד/וֹ) ""thigh/ its"" (H6344/H9023=HNcmsc/Sp3ms)",H6344 H9023,HNcmpc Sp3ms,H6344 H9023,HNcmsc Sp3ms
Job,42,2,1,יָ֭דַעְתִּי,"K= ya.da'.ta (יָדַעְתָּ) ""you know"" (H3045=HVqp2ms)",H3045,HVqp1cs,H3045,HVqp2ms
Psa,6,3,4,וְ/אַתָּ֥ה,"K= ve./'at (וְ/אַתְּ) ""and/ you"" (H9002/H0859C=HC/Pp2fs)",H0859C,Pp2ms,H0859C,Pp2fs
Psa,10,10,1,יִדְכֶּ֥ה,"K= va./da.khah (וְ/דָכָה) ""and/ he is crushed"" (H9001/H1794=Hc/Vqq3ms)",H1794,HVqi3ms,H1794,Vqq3ms
Psa,11,1,8,נ֝֗וּדִי,"K= nu.du (נוּדוּ) ""take flight"" (H5110=HVqv2mp)",H5110,HVqv2fs,H5110,HVqv2mp
Psa,41,2,4,וְ/אֻשַּׁ֣ר,"K= ye.'u.Shar (יֶאְשֹּׁר) ""he will be called blessed"" (H0833=HVPi3ms)",H0833,VPq3ms,H0833,HVPi3ms
Psa,42,8,6,שִׁיר֣/וֹ,"K= shi.R/o (שִׁירָ/הּ) ""song/ his"" (H7892A/H9023=HNcbsc/Sp3ms)",H7892A H9023,HNcmsc Sp3ms,H7892A H9023,HNcbsc Sp3ms
Psa,51,2,1,הֶ֭רֶב,"K= He.rev (הַרְבֵּה) ""greatly"" (H7235A=HVhaa)",H7235A,HVhv2ms,H7235A,HVhaa
Psa,56,6,2,יִצְפּ֗וֹנוּ,"K= yitz.Po.nu (יַצְפִּינוּ) ""they lie hidden"" (H6845=HVhi3mp)",H6845,HVqi3mp,H6845,HVhi3mp
Psa,58,7,7,חִ֝צָּ֗י/ו,"K= chi.Tza/v (חִצּ/וֹ) ""arrow/ his"" (H2671/H9023=HNcmsc/Sp3ms)",H2671 H9023,HNcmpc Sp3ms,H2671 H9023,HNcmsc Sp3ms
Psa,59,15,2,יְנִיע֣וּ/ן,"K= ye.ni.'U/n (יְנוּעוּ/ן) ""they wander about/ !"" (H5128/H9013=HVqi3mp/Sn)",H5128 H9013,HVhi3mp Sn,H5128 H9013,HVqi3mp Sn
Psa,66,7,9,יָר֖וּמוּ,"K= ya.Ru.mu (יָרִימוּ) ""they exalt"" (H7311A=HVhi3mp)",H7311A,HVqi3mp,H7311A,HVhi3mp
Psa,72,17,6,יִנּ֪וֹן,"K= yi.Non (יָנִין) ""may it cause to increase"" (H5125=HVhi3ms)",H5125,HVNi3ms,H5125,HVhi3ms
Psa,73,2,3,נָטָ֣יוּ,"K= na.Ta.yu (נָטוּי) ""[was] bent down"" (H5186=HVqsmsa)",H5186,HVqp3cp,H5186,HVqsmsa
Psa,73,2,6,שֻׁפְּכ֥וּ,"K= shu.pe.Khu (שֻׁפְּכָה) ""it had been poured out"" (H8210J=HVPp3ms)",H8210J,HVPp3cp,H8210J,HVPp3ms
Psa,73,10,2,יָשׁ֣וּב,"K= ya.Shuv (יָשִׁיב) ""he brings back"" (H7725G=HVhi3ms)",H7725G,HVqi3ms,H7725G,HVhi3ms
Psa,73,16,5,ה֣וּא,"K= Hu' (הִיא) ""it"" (H1931=HPp3fs)",H1931,HPp3ms,H1931,HPp3fs
Psa,77,11,1,אֶזְכּ֥וֹר,"K= 'ez.Kor (אַזְכִּיר) ""I will bring to remembrance"" (H2142=HVhi1cs)",H2142,HVqi1cs,H2142,HVhi1cs
Psa,77,19,3,וּֽ֭/שְׁבִֽילְ/ךָ,"K= U./she.vi.le./kha (וּ/שְׁבִילֶי/ךָ) ""and/ paths/ your"" (H9002/H7635/H9021=HC/Ncmpc/Sp2ms)",H7635 H9021,Ncmsc Sp2ms,H7635 H9021,Ncmpc Sp2ms
Psa,89,17,6,תָּר֥וּם,"K= ta.Rum (תָּרִים) ""you exalt"" (H7311A=HVhi2ms)",H7311A,HVqi3fs,H7311A,HVhi2ms
Psa,105,18,3,רַגְל֑/וֹ,"K= rag.L/o (רַגְלָי/ו) ""feet/ his"" (H7272/H9023=HNcbdc/Sp3ms)",H7272 H9023,HNcfsc Sp3ms,H7272 H9023,HNcbdc Sp3ms
Psa,105,28,7,דְּבָרֽ/וֹ\׃,"K= de.va.R/o (דְּבָרָו/ו\׃) ""words/ his"" (H1697G/H9023\H9016=HNcmpc/Sp3ms)",H1697G H9023 H9016,HNcmsc Sp3ms,H1697G H9023 H9016,HNcmpc Sp3ms
Psa,106,45,6,חֲסָדָֽי/ו\׃,"K= cha.sa.Da/v (חַסְדּ/וֹ\׃) ""covenant loyalty/ his"" (H2617A/H9023\H9016=HNcbsc/Sp3ms)",H2617A H9023 H9016,HNcmpc Sp3ms,H2617A H9023 H9016,HNcbsc Sp3ms
Psa,119,79,4,וְ֝/יֹדְעֵ֗י,"K= ve./yo.de.'Ei (וְ/יָדְעוּ) ""and/ they will know"" (H9001/H3045=Hc/Vqq3cp)",H3045,Vqrmpc,H3045,Vqq3cp
Psa,119,147,4,לִ/דְבָרְ/ךָ֥,"K= li/d.va.rei./kha (לִ/דְבָרֶי/ךָ) ""for/ words/ your"" (H9005/H1697G/H9021=HR/Ncmpc/Sp2ms)",H9005 H1697G H9021,HR Ncmsc Sp2ms,H9005 H1697G H9021,HR Ncmpc Sp2ms
Psa,119,161,4,וּ֝/מִ/דְּבָרְ/ךָ֗,"K= u./mi./de.va.rei./kha (וּ/מִ/דְּבָרֶי/ךָ) ""and/ from/ words/ your"" (H9002/H9006/H1697G/H9021=HC/R/Ncmpc/Sp2ms)",H9006 H1697G H9021,R Ncmsc Sp2ms,H9006 H1697G H9021,R Ncmpc Sp2ms
Psa,129,3,6,לְ/מַעֲנִיתָֽ/ם\׃,"K= le./ma.'a.no.ta/m (לְ/מַעֲנוֹתָ/ם\׃) ""<to>/ furrow/ their"" (H9005/H4618/H9028\H9016=HR/Ncfsc/Sp3mp)",H9005 H4618 H9028 H9016,HR Ncfpc Sp3mp,H9005 H4618 H9028 H9016,HR Ncfsc Sp3mp
Psa,140,9,5,יְכַסֵּֽ/מוֹ\׃,"K= ye.kha.su./mov (יְכַסּוּ/מוֹ\׃) ""may they cover/ them"" (H3680/H9038\H9016=HVpi3mp/Sp3mp)",H3680 H9038 H9016,HVpi3ms Sp3mp,H3680 H9038 H9016,HVpi3mp Sp3mp
Psa,140,10,1,יִמּ֥וֹטוּ,"K= ya.mi.tu (יָמִיטוּ) ""may people drop"" (H4131=HVhi3mp)",H4131,HVNi3mp,H4131,HVhi3mp
