book,chapter,verse,type
Jdg,7,13,k
Jdg,7,21,k
Jdg,11,37,K
Jdg,13,17,k
Jdg,16,18,K
Jdg,16,21,K
Jdg,16,25,K
Jdg,16,26,K
Jdg,17,2,K
Jdg,19,3,K
Jdg,19,13,K
Jdg,19,25,K
Jdg,20,13,K
Jdg,21,20,k
Jer,2,3,k
Jer,2,15,k
Jer,2,20,K
Jer,2,24,K
Jer,2,25,K
Jer,2,27,K
Jer,2,33,k
Jer,3,2,K
Jer,3,4,k
Jer,3,5,k
Jer,3,19,k
Jer,4,5,k
Jer,4,19,kK
Jer,4,30,K
Jer,5,24,k
Jer,6,7,K
Jer,6,21,K
Jer,6,25,k
Jer,6,29,K
Jer,7,22,K
Jer,8,1,k
Jer,8,6,k
Jer,8,7,k
Jer,9,8,k
Jer,10,13,k
Jer,10,17,k
Jer,13,16,k
Jer,13,20,k
Jer,14,14,K
Jer,15,4,K
Jer,15,8,k
Jer,15,9,k
Jer,15,11,K
Jer,15,16,k
Jer,16,16,K
Jer,17,8,K
Jer,17,10,k
Jer,17,11,k
Jer,17,13,K
Jer,17,19,k
Jer,17,23,k
Jer,17,24,K
Jer,18,3,K
Jer,18,10,K
Jer,18,16,K
Jer,18,22,K
Jer,18,23,k
Jer,21,9,k
Jer,21,12,K
Jer,22,4,k
Jer,22,6,k
Jer,22,18,k
Jer,22,23,k
Jer,23,18,K
Jer,24,9,K
Jer,25,7,k
Jer,28,1,k
Jer,29,18,K
Jer,29,23,K
Jer,31,21,k
Jer,31,38,K
Jer,31,39,K
Jer,31,40,K
Jer,32,1,k
Jer,32,4,k
Jer,32,23,k
Jer,33,8,k
Jer,33,26,k
Jer,34,11,k
Jer,34,17,K
Jer,37,4,k
Jer,37,19,K
Jer,38,2,k
Jer,38,11,k
Jer,38,16,K
Jer,39,12,K
Jer,40,3,k
Jer,41,17,K
Jer,42,6,K
Jer,42,20,K
Jer,43,10,k
Jer,43,11,K
Jer,46,11,k
Jer,48,18,k
Jer,48,20,k
Jer,48,27,k
Jer,48,44,K
Jer,49,25,k
Jer,49,30,K
Jer,49,36,K
Jer,49,39,k
Jer,50,6,kK
Jer,50,8,k
Jer,50,11,k
Jer,50,29,K
Jer,50,44,k
Jer,51,3,K
Jer,51,34,K
Jer,52,11,K
Jer,52,21,k
Jer,52,31,k
Jer,52,32,k
Job,1,10,K
Job,2,7,k
Job,5,18,k
Job,6,2,K
Job,6,21,K
Job,6,29,k
Job,7,5,k
Job,9,30,K
Job,10,20,k
Job,13,15,K
Job,14,5,k
Job,15,15,k
Job,15,31,k
Job,16,16,k
Job,20,11,k
Job,21,13,K
Job,21,20,k
Job,24,1,k
Job,24,6,k
Job,26,14,k
Job,27,15,k
Job,30,11,K
Job,30,22,K
Job,31,11,k
Job,31,20,k
Job,33,19,K
Job,33,21,K
Job,33,28,K
Job,37,12,k
Job,38,1,K
Job,38,12,kK
Job,38,41,k
Job,39,12,k
Job,39,26,k
Job,39,30,k
Job,40,6,K
Job,40,17,k
Job,41,12,K
Job,42,2,k
Jol,3,1,k
Jos,2,13,k
Jos,3,16,K
Jos,4,18,K
Jos,5,1,K
Jos,6,5,K
Jos,6,7,k
Jos,6,9,k
Jos,6,13,k
Jos,8,16,K
Jos,9,7,k
Jos,15,4,k
Jos,15,47,K
Jos,15,63,k
Jos,16,3,k
Jos,18,12,k
Jos,18,14,k
Jos,18,19,kK
Jos,19,29,k
Jos,22,7,K
Jos,24,8,K
Jos,24,15,K
Lam,1,6,K
Lam,1,11,K
Lam,1,18,k
Lam,2,2,k
Lam,2,19,k
Lam,3,10,K
Lam,3,25,k
Lam,3,32,k
Lam,3,39,K
Lam,4,3,K
Lam,4,12,k
Lam,4,16,k
Lam,4,17,K
Lam,4,21,k
Lam,5,1,K
Lam,5,3,k
Lam,5,5,k
Lam,5,7,k
Lam,5,21,k
Lev,9,22,k
Lev,11,21,K
Lev,16,21,k
Lev,23,13,k
Lev,25,30,K
Mic,1,8,k
Mic,1,10,k
Mic,3,2,k
Nam,1,3,k
Nam,2,5,k
Nam,3,3,k
Neh,2,13,K
Neh,3,15,k
Neh,3,30,K
Neh,3,31,K
Neh,4,13,K
Neh,5,7,K
Neh,5,9,k
Neh,7,3,k
Neh,9,6,K
Neh,9,17,k
Neh,12,16,K
Neh,12,46,k
Num,1,16,K
Num,12,3,k
Num,14,36,k
Num,16,11,k
Num,21,32,k
Num,23,13,K
Num,26,9,K
Num,32,7,k
Num,34,4,k
Oba,1,11,k
Pro,1,27,K
Pro,2,7,k
Pro,2,8,k
Pro,3,27,k
Pro,3,28,k
Pro,3,34,K
Pro,4,16,k
Pro,6,13,k
Pro,6,14,K
Pro,6,16,k
Pro,8,17,K
Pro,8,35,k
Pro,11,3,K
Pro,12,14,k
Pro,13,20,k
Pro,14,21,K
Pro,15,14,K
Pro,16,19,K
Pro,16,27,k
Pro,17,27,K
Pro,18,17,k
Pro,18,19,K
Pro,19,7,K
Pro,19,16,k
Pro,19,19,K
Pro,20,4,k
Pro,20,16,k
Pro,20,20,k
Pro,20,21,K
Pro,20,30,K
Pro,21,19,K
Pro,21,29,kK
Pro,22,3,k
Pro,22,11,k
Pro,22,20,K
Pro,22,25,k
Pro,23,3,K
Pro,23,5,k
Pro,23,6,K
Pro,23,24,k
Pro,23,26,K
Pro,23,29,K
Pro,23,31,K
Pro,24,17,k
Pro,25,24,K
Pro,26,2,K
Pro,26,21,K
Pro,26,24,k
Pro,27,10,K
Pro,27,15,K
Pro,27,20,K
Pro,27,24,k
Pro,28,8,K
Pro,28,16,k
Pro,30,10,k
Pro,31,4,K
Pro,31,16,k
Pro,31,18,k
Psa,6,3,k
Psa,9,12,K
Psa,9,18,K
Psa,10,10,kK
Psa,10,12,K
Psa,11,1,k
Psa,17,11,K
Psa,17,14,K
Psa,30,3,K
Psa,41,2,k
Psa,42,8,k
Psa,49,14,K
Psa,51,2,k
Psa,54,5,K
Psa,55,15,K
Psa,56,6,k
Psa,58,7,k
Psa,59,10,K
Psa,59,15,k
Psa,60,5,K
Psa,66,7,k
Psa,71,12,K
Psa,71,20,K
Psa,72,17,k
Psa,73,2,k
Psa,73,10,k
Psa,73,16,k
Psa,74,11,K
Psa,77,11,k
Psa,77,19,k
Psa,89,17,k
Psa,100,3,K
Psa,102,23,K
Psa,105,18,k
Psa,105,28,k
Psa,106,45,k
Psa,119,79,k
Psa,119,147,k
Psa,119,161,k
Psa,123,4,K
Psa,129,3,k
Psa,139,16,K
Psa,140,9,k
Psa,140,10,k
Psa,145,6,k
Psa,147,19,k
Psa,148,2,k
Rut,1,8,k
Rut,2,1,K
Rut,3,3,k
Rut,3,5,K
Rut,3,12,K
Rut,3,14,kK
Rut,3,17,K
Rut,4,4,k
Rut,4,5,k
Sng,1,17,k
Sng,2,11,k
Sng,2,13,K
Sng,4,9,k
Zec,1,16,K
Zec,4,2,k
Zec,11,2,K
Zec,14,2,K
Zec,14,6,K
Zep,2,9,K
