book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
Jdg,11,37,20,וְ/רֵעוֹתָֽ/י\׃,"K= ve./ra.'i.t/i (וְ/רֵעְיֹתָ/י\׃) ""and/ companions/ my"" (H9002/H7474/H9020\H9016=HC/Ncfpc/Sp1bs)",H7464 H9020 H9016,Ncfpc Sp1bs,H7474 H9020 H9016,Ncfpc Sp1bs
Jdg,16,18,18,לִ֖/י,"K= la/h (לָ/הּ) ""to/ her"" (H9005/H9034=HRd/Sp3fs)",H9005 H9030,HRd Sp1bs,H9005 H9034,HRd Sp3fs
Jdg,16,21,14,הָ/אֲסוּרִֽים\׃,"K= ha./'a.si.rim (הָ/אֲסִירִים\׃) ""the/ prisoners"" (H9009/H0615\H9016=HTd/Ncmpa)",H0631 H9016,HTd Vqsmpa,H0615 H9016,HTd Ncmpa
Jdg,16,25,2,,"K= ki (כִּי) ""for"" (H3588A=HR)",,,H3588A,HR
Jdg,16,25,3,כְּ/ט֣וֹב,"K= tov (טוֹב) ""it was good"" (H2895=HVhi3ms)",H9004 H2895,HR Vqcc,H2895,HVhi3ms
Jdg,16,25,13,הָ/אֲסוּרִ֗ים,"K= ha./'a.si.rim (הָ/אֲסיּרִ֗ים) ""the/ prisoners"" (H9009/H0615=HTd/Ncmpa)",H0631,HTd Vqsmpa,H0615,HTd Ncmpa
Jdg,16,26,9,וַ/הֲמִשֵׁ֙/נִי֙,"K= va./hei.mi.she./ni (וְ/הֵימִשֵׁ/נִי) ""and/ let touch/ me"" (H9002/H3237/H9030=HC/Vhv2ms/Sp1bs)",H4184 H9030,Vhv2ms Sp1bs,H3237 H9030,Vhv2ms Sp1bs
Jdg,17,2,9,וְ/אַ֤תְּ,"K= ve./'a.ti (וְ/אַתִּי) ""and/ you"" (H9002/H0859B=HC/Pp2fs)",H0859C,Pp2fs,H0859B,Pp2fs
Jdg,19,3,8,לַ/הֲשִׁיבָ֔/הּ,"K= la./ha.shi.vo/v (לַ/הֲשִׁיב/וֹ) ""to/ bring back/ it"" (H9005/H7725H/H9033=HR/Vhcc/Sp3ms)",H9005 H7725H H9034,HR Vhcc Sp3fs,H9005 H7725H H9033,HR Vhcc Sp3ms
Jdg,19,13,3,לְכָ֥/ה,"K= le.Kha (לֵךְ) ""come"" (H1980N=HVqv2ms)",H1980N H9012,HVqv2ms Sh,H1980N,HVqv2ms
Jdg,19,25,21,כַּ/עֲל֥וֹת,"K= ba./'a.lot (בַּ/עֲלוֹת) ""when/ came up"" (H9003/H5927L=HR/Vqcc)",H9004 H5927L,HR Vqcc,H9003 H5927L,HR Vqcc
Jdg,20,13,14,אָבוּ֙//בְּנֵ֣י,"K= 'a.Vu (אָבוּ֙) ""they were willing"" (H0014=HVqp3cp)",H0014  H1121G,HVqp3cp  Ncmpc,H0014,HVqp3cp
Rut,2,1,2,מוֹדַ֣ע,"K= me.yu.da' (מְיֻדָּע) ""an acquaintance"" (H3045=HVprmsa)",H4129,HNcmsa,H3045,HVprmsa
Rut,3,5,5,תֹּאמְרִ֥י/ /אֵלַ֖/י,"K= tom.Ri (תֹּאמְרִ֥י) ""you are saying"" (H0559=HVqi2fs)",H0559   H0413 H9030,HVqi2fs  Rd Sp1bs,H0559,HVqi2fs
Rut,3,12,5,,"K= 'im (אִם) ""if"" (H0518B=HTc)",,,H0518B,HTc
Rut,3,14,6,בְּ/טֶ֛רֶם,"K= bi/t.rom (בִּ/טְרוֹם) ""<in>/ before"" (H9003/H2958=HR/Ncbsa)",H9003 H2962,HR Acbsa,H9003 H2958,HR Ncbsa
Rut,3,17,8,אָמַ֣ר/ /אֵלַ֔/י,"K= 'a.Mar (אָמַ֣ר) ""he said"" (H0559=HVqp3ms)",H0559   H0413 H9030,HVqp3ms  Rd Sp1bs,H0559,HVqp3ms
1Sa,2,3,13,וְ/ל֥/וֹ,"K= ve./lo' (וְ/לֹא) ""and/ not"" (H9002/H3808=HC/Tn)",H9005 H9033,Rd Sp3ms,H3808,Tn
1Sa,2,16,14,לֹא֙,"K= lo/v (ל/וֹ) ""to/ him"" (H9005/H9033=HRd/Sp3ms)",H3808,HTn,H9005 H9033,HRd Sp3ms
1Sa,4,13,7,יַ֥ד,"K= yakh (יַךְ) ""[the] side of"" (H3197=HNcbsc)",H3027J,HNcbsc,H3197,HNcbsc
1Sa,5,6,9,בַּ/טְּחֹרִ֔ים,"K= bo./'o.fa.Lim (בָּ/עֳפָלִים) ""with/ <the> tumors"" (H9003/H6076B=HRd/Ncmpa)",H9003 H2914,HRd Ncmpa,H9003 H6076B,HRd Ncmpa
1Sa,5,9,21,טְחֹרִֽים\׃,"K= o.fa.lim (עֳפָלִים\׃) ""tumors"" (H6076B\H9016=HNcmpa)",H2914 H9016,HNcmpa,H6076B H9016,HNcmpa
1Sa,5,12,6,בַּ/טְּחֹרִ֑ים,"K= bo./'o.fa.Lim (בָּ/עֳפָלִים) ""with the/ tumors"" (H9003/H6076B=HRd/Ncmpa)",H9003 H2914,HRd Ncmpa,H9003 H6076B,HRd Ncmpa
1Sa,6,4,12,טְחֹרֵ֣י,"K= a.fe.Lei (עָפְלֵי) ""tumors of"" (H6076B=HNcmpc)",H2914,HNcmpc,H6076B,HNcmpc
1Sa,6,5,3,טְחֹרֵי/כֶ֜ם,"K= a.fe.lei./Khem (עָפְלֵי/כֶם) ""tumors/ your"" (H6076B/H9026=HNcmpc/Sp2mp)",H2914 H9026,HNcmpc Sp2mp,H6076B H9026,HNcmpc Sp2mp
1Sa,7,9,6,וַ/יַּעֲלֵ֧/הוּ,"K= va/i.ya.'a.leh (וַ/יַּעֲלֶה) ""and/ he offered up"" (H9001/H5927I=Hc/Vqw3ms)",H5927I H9033,Vhw3ms Sp3ms,H5927I,Vqw3ms
1Sa,9,1,3,מִ/בִּנְיָמִ֗ין,"K= mi./bin- (מִ/בִּן\־) ""from/ Ben-"" (H9006/H1121A\H9014=HR/Npm)",H9006 H1144G,HR Npm,H9006 H1121A H9014,HR Npm
1Sa,9,1,4,,"K= ya.Min (יָמִין) ""-jamin"" (H3225I=HNpm)",,,H3225I,HNpm
1Sa,9,26,9,הַ/גָּ֣גָ/ה,"K= ha./gag (הַ/גָּג) ""the/ roof"" (H9009/H1406=HTd/Ncbsa)",H1406 H9011,HTd Ncmsa Sd,H1406,HTd Ncbsa
1Sa,11,6,6,כְּ/שָׁמְע֖/וֹ,"K= be./sha.me.'/ov (בְּ/שָׁמְע/וֹ) ""when/ heard/ he"" (H9003/H8085G/H9043=HR/Vqcc/Sp3ms)",H9004 H8085G H9043,HR Vqcc Sp3ms,H9003 H8085G H9043,HR Vqcc Sp3ms
1Sa,11,9,13,כְּ/חֹ֣ם,"K= be./chom (בְּ/חֹם) ""at/ [the] heat of"" (H9003/H2527=HR/Vqcc)",H9004 H2527,HR Vqcc,H9003 H2527,HR Vqcc
1Sa,14,27,22,וַ/תָּאֹ֖רְנָה,"K= va./ta.ro.nah (וַ/תָּרֹאנָה) ""and/ they saw"" (H9001/H7200G=Hc/Vqw2fp)",H0215,Vqw2fp,H7200G,Vqw2fp
1Sa,14,32,1,וַ/יַּ֤עַט,"K= va/i.ya.'as (וַ/יַּעַשׂ) ""and/ it did"" (H9001/H6213A=Hc/Vqw3ms)",H5860B,Vqw3ms,H6213A,Vqw3ms
1Sa,17,7,1,וְ/עֵ֣ץ,"K= ve./chatz (וְ/חָץ) ""and/ [the] arrow of"" (H9002/H2671=HC/Ncbsc)",H6086G,Ncmsc,H2671,Ncbsc
1Sa,17,23,12,מִ/מַּעַרְכ֣וֹת,"K= mi./ma.'a.rot (מִ/מַּעֲרוֹת) ""from/ [the] army of"" (H9006/H4630=HR/Ncfpc)",H9006 H4634,HR Ncfpc,H9006 H4630,HR Ncfpc
1Sa,18,9,3,עוֹיֵ֣ן,"K= a.von (עֲוֹן) ""iniquity"" (H5771H=HNcbsc)",H5770,HVqrmsa,H5771H,HNcbsc
1Sa,20,2,7,לֹֽא\־,"K= lo/v- (ל/וֹ\־) ""to/ him"" (H9005/H9033\H9014=HRd/Sp3ms)",H3808 H9014,HTn,H9005 H9033 H9014,HRd Sp3ms
1Sa,20,24,8,אֶל,"K= al- (עַל) ""at"" (H5921A=HR)",H0413,HR,H5921A,HR
1Sa,20,38,13,הַ֣/חִצִּ֔ים,"K= ha./che.tzi (הַ/חֵצִי) ""the/ arrow"" (H9009/H2678=HTd/Ncmsa)",H2671,HTd Ncmpa,H2678,HTd Ncmsa
1Sa,22,17,23,אָזְנִ֑/י,"K= 'a.ze.no/v (אָזְנ/וֹ) ""ear/ his"" (H0241I/H9023=HNcbsc/Sp3ms)",H0241I H9020,HNcfsc Sp1bs,H0241I H9023,HNcbsc Sp3ms
1Sa,24,8(24,6,,"K= min- (מִן\־) ""from"" (H4480A\H9014=HR)",,,H4480A H9014,HR
